State,Atmosphere,Crash Datetime,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week
Alaska,Sleet,05-01-2011 14:33,1,Rural-Principal Arterial-Interstate,27,0,Driver of a Motor Vehicle In-Transport,Yes,,Male,Non-incapacitating Evident Injury (B),2011,1,5,3
Alaska,Rain,05-01-2011 23:27,1,Rural-Principal Arterial-Interstate,60,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,5,3
Arizona,Thunderstorm,01-01-2011 07:51,1,Urban-Other Principal Arterial,24,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Arizona,Clear,01-01-2011 21:17,1,Urban-Other Principal Arterial,27,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,1,6
Arizona,Dust Storm,01-01-2011 04:16,1,Urban-Other Principal Arterial,82,0,Pedestrian,No,Unknown,Female,Fatal Injury (K),2011,1,1,6
Arkansas,Rain,02-01-2011 23:17,1,Rural-Minor Arterial,40,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,2,7
Colorado,Rain,02-01-2011 04:31,1,Rural-Local Road or Street,17,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,2,7
Connecticut,Fog,01-01-2011 08:08,1,Urban-Local Road or Street,22,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Delaware,Rain,04-01-2011 15:11,1,Urban-Other Principal Arterial,4,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,4,2
Delaware,Cloudy,04-01-2011 04:22,1,Urban-Other Principal Arterial,20,0.21,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,4,2
District of Columbia,Rain,14-01-2011 16:50,2,Urban-Local Road or Street,20,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,14,5
District of Columbia,Windy,14-01-2011 16:45,2,Urban-Local Road or Street,31,0.1,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,14,5
Florida,Fog,01-01-2011 08:57,1,Urban-Minor Arterial,5,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Florida,Rain,01-01-2011 14:10,1,Urban-Minor Arterial,70,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
